model_id,snr_db,metric,n,mean,std,ci95_low,ci95_high,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026
M0,-10,macro_f1,5,0.23231307603807977,0.01029994227776486,0.21952400852820228,0.24510214354795726,0.24602693874592996,0.22801633635803045,0.22034320059490123,0.2395596721278568,0.22761923236368062
M0,-10,balanced_accuracy,5,0.2625454545454545,0.013320586193142026,0.24600576223445994,0.27908514685644914,0.2840909090909091,0.2540909090909091,0.24954545454545454,0.2640909090909091,0.26090909090909087
M0,-10,prediction_concentration,5,0.5067272727272728,0.0325236722434344,0.46634379981322127,0.5471107456413243,0.4822727272727273,0.5036363636363637,0.5618181818181818,0.4827272727272727,0.5031818181818182
M0,-10,normalized_prediction_entropy,5,0.7384890880950741,0.03383486948077201,0.6964775487768762,0.780500627413272,0.7468209488637106,0.7506905209729636,0.6830919914240593,0.7744185300213706,0.7374234491932657
M0,-10,gini,5,0.5307272727272727,0.04037460339296721,0.4805955812524698,0.5808589642020756,0.5452892561983471,0.5100826446280992,0.5831404958677685,0.4754545454545455,0.5396694214876033
M0,-10,hhi,5,0.28811140495867765,0.030541370548909628,0.25018928469229584,0.32603352522505946,0.2705471074380166,0.2819082644628099,0.34023305785123964,0.26241322314049587,0.2854553719008265
M0,-10,dominant_predicted_class_ratio,5,0.5067272727272728,0.0325236722434344,0.46634379981322127,0.5471107456413243,0.4822727272727273,0.5036363636363637,0.5618181818181818,0.4827272727272727,0.5031818181818182
M0,-8,accuracy,5,0.39499999999999996,0.010229797668115364,0.3822980285265923,0.40770197147340764,0.3840909090909091,0.4068181818181818,0.3845454545454545,0.3981818181818182,0.40136363636363637
M0,-8,macro_f1,5,0.36010208372943336,0.011823037207215618,0.34542184407981014,0.3747823233790566,0.34384995047287154,0.3712436507965942,0.3514127172134934,0.3667315678022556,0.3672725323619522
M0,-8,balanced_accuracy,5,0.39499999999999996,0.01022979766811538,0.3822980285265923,0.40770197147340764,0.38409090909090904,0.4068181818181818,0.3845454545454545,0.3981818181818182,0.40136363636363637
M0,-8,prediction_concentration,5,0.294,0.03098153275583417,0.25553134616791007,0.3324686538320899,0.28454545454545455,0.27636363636363637,0.3459090909090909,0.26681818181818184,0.2963636363636364
M0,-8,normalized_prediction_entropy,5,0.900073173765556,0.021815289024586865,0.8729859147733168,0.9271604327577951,0.892555963007282,0.9164430556050495,0.8682859742996547,0.9239041652656886,0.8991767106501056
M0,-8,gini,5,0.3606611570247934,0.036089831307110534,0.31584971278950713,0.40547260126007967,0.3844628099173553,0.33404958677685953,0.40628099173553717,0.317603305785124,0.36090909090909096
M0,-8,hhi,5,0.1473165289256198,0.014960631182087085,0.12874045179641766,0.16589260605482195,0.14727685950413222,0.13704545454545453,0.17121033057851237,0.13256818181818183,0.1484818181818182
M0,-8,dominant_predicted_class_ratio,5,0.294,0.03098153275583417,0.25553134616791007,0.3324686538320899,0.28454545454545455,0.27636363636363637,0.3459090909090909,0.26681818181818184,0.2963636363636364
M0,-6,accuracy,5,0.5489090909090909,0.010482176923609495,0.5358937492002427,0.5619244326179391,0.5340909090909091,0.5595454545454546,0.5568181818181818,0.5427272727272727,0.5513636363636364
M0,-6,macro_f1,5,0.5221960721084546,0.014605554344868718,0.5040608811046225,0.5403312631122867,0.4991264368832296,0.5337149565561605,0.5290254865265012,0.5164755988856395,0.5326378816907418
M0,-6,balanced_accuracy,5,0.5489090909090909,0.010482176923609521,0.5358937492002427,0.5619244326179391,0.5340909090909091,0.5595454545454547,0.5568181818181819,0.5427272727272728,0.5513636363636363
M0,-6,prediction_concentration,5,0.1572727272727273,0.02318181818181818,0.1284886982234582,0.18605675632199636,0.19045454545454546,0.13954545454545456,0.13545454545454547,0.14954545454545454,0.17136363636363636
M0,-6,normalized_prediction_entropy,5,0.9672890072345263,0.013163875089799663,0.9509438974586707,0.9836341170103818,0.9439799137342818,0.9753159810744022,0.9710718223039319,0.9714610683594244,0.9746162507005913
M0,-6,gini,5,0.21565289256198347,0.03969788923446019,0.16636145269487346,0.2649443324290935,0.2858677685950413,0.19132231404958677,0.2030578512396695,0.20487603305785118,0.1931404958677686
M0,-6,hhi,5,0.10494190082644628,0.005768213334537907,0.09777971799499167,0.11210408365790088,0.1151904958677686,0.10123429752066117,0.10262355371900826,0.10273305785123966,0.10292809917355372
M0,-6,dominant_predicted_class_ratio,5,0.1572727272727273,0.02318181818181818,0.1284886982234582,0.18605675632199636,0.19045454545454546,0.13954545454545456,0.13545454545454547,0.14954545454545454,0.17136363636363636
